model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
Chronos-2 joint (con X),0,4,0.11076168968260584,5.13570748372641,5.137704220660305,2.2666504407738537,1.779909553979484,1.269658450492966,0.788,0.96,5.596793792724609,10.09664413356781,8.021969535342176,11.832279469391953
Chronos-2 joint (con X),0,5,0.1322842771146134,6.4254239456819695,6.430072227762351,2.5357587085056714,2.0369083857027186,1.4394926705005948,0.764,0.958,6.0358211669921875,10.869995824813843,8.880197101577052,12.525700170812412
Chronos-2 joint (con X),0,6,0.2240377089545016,7.289698954764787,7.325312451888828,2.706531442989131,2.171506901680513,1.529747574087388,0.764,0.956,6.3728141059875485,11.408648655891419,9.42707412169846,13.337162303203604
Chronos-2 joint (con X),0,7,0.15369758552526747,8.19124952214763,8.198489970899631,2.863300537997999,2.281586975007526,1.607480760139972,0.772,0.956,6.716327758789062,12.010334538459778,10.02451397771468,14.492304332330544
Chronos-2 joint (con X),0,8,0.04437798330735123,9.073462001681378,9.057284483080442,3.0095322698187577,2.374574997074768,1.6916083633148649,0.754,0.946,6.977885498046875,12.470512118339538,10.659550171842964,15.215236318405312
Chronos-2 joint (con X),0,9,0.11415338035760234,9.531307245869515,9.52527562562483,3.086304525743503,2.4543153824603436,1.7371893310554252,0.738,0.948,7.149043701171875,12.824789426803589,10.893487255116954,14.990669001062512
Chronos-2 joint (con X),0,10,0.17351601894546473,9.794403289564684,9.804922291816236,3.131281254026255,2.487498526588729,1.7669482743736449,0.75,0.95,7.352454833984375,13.10041886806488,11.081623563109936,15.631274208237606
Chronos-2 joint (con X),0,11,0.23031928159772821,9.927638780481265,9.96083047439599,3.1560783378103894,2.5247517712780905,1.7887877708225295,0.77,0.962,7.576026397705078,13.557459784507751,11.280634384645369,15.462022151725522
Chronos-2 joint (con X),0,12,0.12660172543716844,10.13861186376875,10.134362636924877,3.1834513718486224,2.5117215476698704,1.7997123545833495,0.766,0.952,7.765301025390625,13.925342235565186,11.439312039080408,15.946318559284986
Chronos-2 joint (con X),0,13,0.13261927588831124,10.08699560099661,10.084409482131774,3.175595925512529,2.4890189704400307,1.7849581273685111,0.784,0.96,7.88090869140625,14.199348587989807,11.355763062217823,16.29477228678727
Chronos-2 joint (con X),0,14,0.14406453978906986,10.70243064375136,10.70178037408849,3.271357573560018,2.6153678300393985,1.8490663428864234,0.786,0.94,8.067583068847656,14.532053806304932,11.781399863643685,17.37923022780272
Chronos-2 joint (con X),0,15,0.04254581095567278,11.620408351611609,11.598977680938257,3.405727188272463,2.6954227614987336,1.928758255137119,0.746,0.948,8.117078369140625,14.6278012342453,12.044002458438001,17.33811263208794
Chronos-2 joint (con X),0,16,0.03904027208584368,12.090193510405289,12.067537266229024,3.473836102384369,2.7678421386878456,1.9722738114118137,0.746,0.944,8.22684475326538,14.896136680603027,12.388342635766504,18.026910528174103
Chronos-2 joint (con X),0,17,0.07587678678490943,12.448676440459897,12.429536374351787,3.5255547612186917,2.7601045727363718,1.9805355310543344,0.778,0.952,8.789626586914062,16.641589992523194,12.686807633538558,19.535221051140585
